position,champion,avg_kills,avg_deaths,avg_assists,avg_kda,avg_damage,avg_tanking,avg_vision,avg_gold,avg_cs,avg_time,avg_solokills,DPM,GPM,VSPM,DTM
TOP,르블랑,5.32,4.44,5.29,3.17,21687.4706,19744.5882,28.6765,10750.6176,185.5882,1558.59,2.15,834.89,413.86,1.1,760.1
TOP,트런들,3.93,6.54,3.33,1.53,16965.8862,33652.5854,23.187,11402.0976,205.0569,1535.06,2.16,663.14,445.67,0.91,1315.36
MIDDLE,베이가,5.87,4.62,5.41,3.61,22274.2809,19150.1727,24.7861,11482.8196,210.0335,1560.76,1.21,856.29,441.43,0.95,736.19
TOP,벨코즈,5.09,4.39,4.94,2.97,22184.697,14833.3333,25.1818,9987.9697,179.7576,1473.88,2.27,903.11,406.6,1.03,603.85
BOTTOM,초가스,7.07,4.21,6.29,4.78,17303.75,23468.0,20.9643,11459.4643,182.1071,1443.82,1.11,719.08,476.21,0.87,975.25
UTILITY,멜,5.03,6.63,8.13,2.74,18289.7817,18076.8417,81.9817,9164.355,44.595,1612.72,0.42,680.46,340.95,3.05,672.53
UTILITY,밀리오,0.62,4.1,13.09,5.04,5051.3211,14904.6093,76.6402,7417.9513,26.0676,1568.08,0.08,193.28,283.84,2.93,570.3
TOP,신드라,4.83,5.63,5.66,2.71,22305.2,17287.8857,30.2571,11161.6286,207.7429,1567.54,1.89,853.76,427.23,1.16,661.72
JUNGLE,람머스,3.98,4.18,11.49,5.7,13326.0354,26634.7203,29.7428,10766.0482,163.8424,1610.54,0.32,496.46,401.09,1.11,992.27
BOTTOM,카시오페아,7.3,5.32,6.93,3.87,21970.5552,23395.4161,21.6341,12367.3271,206.1004,1560.02,0.94,845.01,475.66,0.83,899.81
BOTTOM,카서스,9.3,9.02,10.58,2.68,34995.8689,23101.8689,17.0,13586.8279,208.3197,1628.39,1.25,1289.47,500.62,0.63,851.22
BOTTOM,베이가,5.87,4.06,6.54,4.59,22164.9478,17540.2761,23.3582,13258.1716,215.5149,1579.38,0.6,842.04,503.67,0.89,666.35
MIDDLE,말자하,3.78,5.0,7.06,2.97,20099.7295,17234.0135,26.7907,11308.7931,222.0832,1589.06,0.88,758.93,427.0,1.01,650.73
BOTTOM,애니비아,5.0,3.88,7.35,4.89,18710.1765,21625.0,27.1176,10532.8824,185.0588,1433.06,0.82,783.37,441.0,1.14,905.41
UTILITY,잔나,1.22,4.22,13.84,5.56,7078.4547,16184.5109,88.3625,7849.5234,27.3984,1583.42,0.13,268.22,297.44,3.35,613.27
UTILITY,흐웨이,2.89,5.96,11.1,3.45,17271.5361,17367.8763,78.4021,8615.4742,40.3608,1597.04,0.34,648.88,323.68,2.95,652.5
MIDDLE,직스,4.68,5.0,6.48,3.44,25607.375,16929.375,23.8977,11440.9148,214.0568,1578.74,1.23,973.21,434.81,0.91,643.4
MIDDLE,벨코즈,5.59,5.31,6.59,3.41,23408.0923,17788.8846,26.8462,11233.6154,201.6923,1626.81,1.51,863.34,414.32,0.99,656.09
TOP,트린다미어,5.63,6.12,3.67,2.22,20869.1819,33176.8829,23.9069,11788.1128,213.9746,1542.08,2.87,811.99,458.66,0.93,1290.86
MIDDLE,쉔,4.86,4.09,9.41,4.73,15834.0455,24721.3636,21.5909,10338.4545,183.5,1550.82,0.82,612.61,399.99,0.84,956.45
BOTTOM,트위치,8.81,5.97,5.9,3.68,23176.216,19541.2208,22.2768,12837.9584,184.2432,1555.28,0.96,894.1,495.27,0.86,753.87
TOP,스몰더,4.9,6.8,5.15,1.78,25615.0417,23563.3958,26.7708,11907.0938,223.0417,1681.38,0.92,914.07,424.91,0.96,840.86
TOP,코르키,4.81,6.49,4.08,1.95,23995.0632,23478.4316,24.5684,11264.8737,213.3474,1566.51,1.86,919.05,431.47,0.94,899.27
JUNGLE,자헨,5.93,4.9,7.11,4.1,17764.8592,34319.4085,30.5634,11190.2676,170.2817,1542.44,0.77,691.04,435.3,1.19,1335.01
MIDDLE,제이스,6.15,5.82,5.97,3.09,24356.341,20875.9693,27.1801,11998.6705,212.2759,1570.16,1.74,930.72,458.5,1.04,797.72
MIDDLE,자크,4.36,4.34,6.96,4.4,16794.6729,35842.6075,16.9346,9538.2617,163.2056,1463.28,1.31,688.64,391.1,0.69,1469.68
TOP,마오카이,2.44,4.74,7.74,3.52,17479.5825,37799.2573,22.3786,9405.835,175.2573,1594.63,0.87,657.69,353.91,0.84,1422.24
MIDDLE,자이라,3.88,4.35,6.44,2.74,25862.4706,15676.3824,28.5588,11016.3235,219.3529,1580.59,0.76,981.75,418.19,1.08,595.08
UTILITY,리산드라,2.0,5.81,11.38,3.4,10722.9286,18027.5,76.5952,7612.0714,40.1429,1423.93,0.12,451.83,320.75,3.23,759.62
MIDDLE,피즈,6.78,5.01,5.48,3.68,19101.4518,20401.6576,23.6961,11490.2074,188.5016,1585.1,1.88,723.04,434.93,0.9,772.25
UTILITY,크산테,3.04,6.93,7.8,2.43,11496.0545,24572.6182,65.9455,7742.6727,36.5636,1527.78,0.38,451.48,304.08,2.59,965.03
TOP,엘리스,4.67,5.25,3.58,2.32,20655.6667,22882.3333,25.5,10668.8333,176.3333,1548.92,2.25,800.13,413.28,0.99,886.39
UTILITY,신지드,2.24,7.14,13.33,2.74,8619.8095,25524.9048,74.1429,8138.0476,47.381,1546.43,0.33,334.44,315.75,2.88,990.34
TOP,나서스,3.69,5.46,4.87,2.16,18994.7303,35228.6546,22.7039,10283.2336,182.3388,1567.9,1.42,726.88,393.52,0.87,1348.12
TOP,우르곳,6.37,4.9,4.09,3.12,21649.8885,24940.9207,31.0622,11870.2004,204.1426,1574.58,2.54,824.98,452.32,1.18,950.38
MIDDLE,크산테,3.61,4.31,6.1,3.32,16600.0099,29724.5941,21.4455,10224.8713,196.2376,1563.15,1.0,637.18,392.47,0.82,1140.95
BOTTOM,코그모,7.3,6.66,6.26,2.7,28480.6833,20808.5516,22.395,13268.3452,214.8505,1584.77,0.94,1078.29,502.34,0.85,787.82
BOTTOM,아우렐리온 솔,6.66,5.27,8.94,4.14,24213.6092,20401.7689,18.5126,12981.0252,213.958,1637.09,0.66,887.44,475.76,0.68,747.73
UTILITY,우디르,2.0,6.57,10.43,2.88,6500.4286,29326.5,77.0714,8088.8571,45.7857,1586.71,0.14,245.81,305.87,2.91,1108.95
UTILITY,말파이트,3.5,9.79,9.21,1.46,15697.7857,26699.5714,84.5714,9172.1429,42.7857,1743.0,0.36,540.37,315.74,2.91,919.09
TOP,조이,5.26,6.14,6.46,2.28,24753.84,20480.2,32.34,10803.42,188.12,1626.32,2.32,913.25,398.57,1.19,755.58
MIDDLE,자헨,3.75,5.1,5.0,2.67,17652.6375,34789.5,25.125,10442.2875,195.7625,1543.4,0.91,686.25,405.95,0.98,1352.45
UTILITY,스카너,2.8,6.12,13.71,4.31,13516.4855,24338.7101,90.029,8633.9203,31.2391,1632.49,0.24,496.78,317.33,3.31,894.54
UTILITY,아우렐리온 솔,2.0,3.5,3.0,1.54,5129.5,8460.0,36.5,4613.5,22.5,914.0,0.5,336.73,302.86,2.4,555.36
JUNGLE,올라프,6.61,5.37,6.53,3.5,18305.6076,27796.8608,28.443,11760.1646,182.3291,1557.19,1.03,705.33,453.13,1.1,1071.04
MIDDLE,케넨,6.09,5.61,6.4,3.1,22597.7025,20800.7603,27.0744,11202.7355,189.1322,1557.83,2.15,870.35,431.47,1.04,801.14
TOP,모르가나,4.0,3.67,9.67,5.0,13937.3333,17056.3333,32.0,11054.3333,205.6667,1560.67,1.33,535.82,424.99,1.23,655.73
TOP,가렌,5.28,5.04,3.33,2.62,19011.9974,28265.4585,24.9196,11201.8248,204.7457,1556.85,2.12,732.71,431.71,0.96,1089.33
MIDDLE,럭스,5.81,4.3,7.67,4.87,22650.2955,14242.435,29.7423,11523.8511,210.3948,1625.8,1.46,835.91,425.29,1.1,525.62
MIDDLE,카서스,5.98,7.66,7.2,2.37,28670.9545,22520.9773,25.7955,11170.0682,197.8864,1618.14,1.64,1063.11,414.18,0.96,835.07
MIDDLE,피들스틱,4.38,5.98,7.14,2.88,19320.881,24517.1667,43.4524,8976.4286,146.2619,1513.17,1.1,766.11,355.93,1.72,972.15
UTILITY,자크,2.52,5.98,12.66,4.32,12151.87,31453.69,78.55,8544.8,39.77,1612.39,0.21,452.19,317.97,2.92,1170.45
TOP,아크샨,7.23,5.88,4.56,3.38,23672.3733,20530.0,25.0133,12004.24,192.6533,1588.01,2.09,894.41,453.56,0.95,775.69
