position,champion,spell1,spell2,total_games,win_count,win_rate
MIDDLE,아리,탈진,점멸,17,4,23.53
MIDDLE,아우렐리온 솔,방어막,점멸,44,20,45.45
MIDDLE,아우렐리온 솔,순간이동,점멸,735,377,51.29
MIDDLE,아우렐리온 솔,점화,점멸,7,6,85.71
MIDDLE,아우렐리온 솔,정화,점멸,10,6,60.0
MIDDLE,아우렐리온 솔,탈진,점멸,23,13,56.52
MIDDLE,아이번,순간이동,점멸,26,17,65.38
MIDDLE,아지르,방어막,점멸,7,0,0.0
MIDDLE,아지르,순간이동,점멸,1238,591,47.74
MIDDLE,아지르,점화,점멸,71,30,42.25
MIDDLE,아지르,정화,점멸,11,7,63.64
MIDDLE,아지르,탈진,점멸,12,6,50.0
MIDDLE,아칼리,순간이동,점멸,2643,1287,48.69
MIDDLE,아칼리,순간이동,점화,19,6,31.58
MIDDLE,아칼리,점화,점멸,3097,1464,47.27
MIDDLE,아칼리,정화,점멸,113,63,55.75
MIDDLE,아크샨,순간이동,점멸,303,150,49.5
MIDDLE,아크샨,점화,점멸,853,448,52.52
MIDDLE,아크샨,정화,점멸,27,12,44.44
MIDDLE,아크샨,탈진,점멸,5,5,100.0
MIDDLE,아트록스,순간이동,점멸,49,20,40.82
MIDDLE,아트록스,점화,점멸,68,33,48.53
MIDDLE,아트록스,탈진,점멸,8,5,62.5
MIDDLE,암베사,순간이동,점멸,258,136,52.71
MIDDLE,암베사,순간이동,점화,8,5,62.5
MIDDLE,암베사,점화,점멸,111,57,51.35
MIDDLE,애니,순간이동,점멸,111,54,48.65
MIDDLE,애니,점화,점멸,128,53,41.41
MIDDLE,애니비아,순간이동,점멸,833,441,52.94
MIDDLE,애니비아,유체화,점멸,14,9,64.29
MIDDLE,애니비아,점화,점멸,432,242,56.02
MIDDLE,애니비아,탈진,점멸,6,4,66.67
MIDDLE,야스오,방어막,점멸,5,3,60.0
MIDDLE,야스오,순간이동,점멸,976,482,49.39
MIDDLE,야스오,점화,점멸,777,402,51.74
MIDDLE,야스오,정화,점멸,46,17,36.96
MIDDLE,야스오,탈진,점멸,370,170,45.95
MIDDLE,에코,순간이동,점멸,1104,571,51.72
