position,champion,rune_key,rune_main,rune_sub,total_games,win_count,win_rate
TOP,제이스,감전,지배,마법,6,6,100.0
TOP,제이스,감전,지배,영감,38,17,44.74
TOP,제이스,감전,지배,정밀,10,6,60.0
TOP,제이스,난입,마법,결의,10,4,40.0
TOP,제이스,난입,마법,영감,322,170,52.8
TOP,제이스,선제공격,영감,결의,12,8,66.67
TOP,제이스,선제공격,영감,마법,12,9,75.0
TOP,제이스,선제공격,영감,정밀,6,3,50.0
TOP,제이스,정복자,정밀,결의,75,37,49.33
TOP,제이스,정복자,정밀,마법,10,3,30.0
TOP,제이스,정복자,정밀,영감,490,223,45.51
TOP,제이스,착취의 손아귀,결의,영감,336,173,51.49
TOP,제이스,착취의 손아귀,결의,정밀,5,2,40.0
TOP,조이,감전,지배,마법,11,6,54.55
TOP,조이,콩콩이 소환,마법,영감,15,6,40.0
TOP,조이,콩콩이 소환,마법,정밀,17,10,58.82
TOP,질리언,콩콩이 소환,마법,영감,6,3,50.0
TOP,초가스,신비로운 유성,마법,결의,9,0,0.0
TOP,초가스,신비로운 유성,마법,영감,13,3,23.08
TOP,초가스,신비로운 유성,마법,정밀,14,4,28.57
TOP,초가스,착취의 손아귀,결의,마법,7,6,85.71
TOP,초가스,착취의 손아귀,결의,영감,74,41,55.41
TOP,초가스,착취의 손아귀,결의,정밀,12,6,50.0
TOP,초가스,칼날비,지배,마법,43,20,46.51
TOP,카르마,신비로운 유성,마법,결의,9,4,44.44
TOP,카르마,신비로운 유성,마법,영감,9,7,77.78
TOP,카르마,신비로운 유성,마법,정밀,6,2,33.33
TOP,카르마,신비로운 유성,마법,지배,5,1,20.0
TOP,카르마,착취의 손아귀,결의,마법,19,6,31.58
TOP,카르마,콩콩이 소환,마법,결의,18,9,50.0
TOP,카르마,콩콩이 소환,마법,정밀,5,3,60.0
TOP,카밀,기민한 발놀림,정밀,결의,6,2,33.33
TOP,카밀,기민한 발놀림,정밀,영감,5,4,80.0
TOP,카밀,선제공격,영감,결의,9,8,88.89
TOP,카밀,신비로운 유성,마법,결의,6,2,33.33
TOP,카밀,정복자,정밀,결의,25,15,60.0
TOP,카밀,정복자,정밀,영감,8,6,75.0
TOP,카밀,집중 공격,정밀,결의,40,18,45.0
TOP,카밀,집중 공격,정밀,영감,6,4,66.67
TOP,카밀,착취의 손아귀,결의,마법,43,20,46.51
TOP,카밀,착취의 손아귀,결의,영감,1414,701,49.58
TOP,카밀,착취의 손아귀,결의,정밀,17,7,41.18
TOP,카사딘,선제공격,영감,결의,19,10,52.63
TOP,카사딘,선제공격,영감,지배,15,7,46.67
TOP,카시오페아,난입,마법,결의,10,6,60.0
TOP,카시오페아,난입,마법,정밀,41,23,56.1
TOP,카시오페아,정복자,정밀,결의,38,15,39.47
