position,champion,item_name,total_games,win_count,win_rate
BOTTOM,코그모,롱소드,14,8,57.14
BOTTOM,코그모,마법무효화의 망토,5,2,40.0
BOTTOM,코그모,수확의 낫,9,5,55.56
BOTTOM,코그모,암흑의 인장,6,2,33.33
BOTTOM,코그모,여신의 눈물,11,5,45.45
BOTTOM,코그모,증폭의 고서,11,8,72.73
BOTTOM,코르키,도란의 검,821,394,47.99
BOTTOM,코르키,롱소드,258,92,35.66
BOTTOM,코르키,마법무효화의 망토,10,5,50.0
BOTTOM,코르키,수확의 낫,27,17,62.96
BOTTOM,코르키,여신의 눈물,119,40,33.61
BOTTOM,코르키,장화,25,1,4.0
BOTTOM,키아나,도란의 검,18,9,50.0
BOTTOM,키아나,롱소드,12,3,25.0
BOTTOM,킨드레드,도란의 검,5,3,60.0
BOTTOM,탈리야,도란의 반지,10,5,50.0
BOTTOM,탈리야,암흑의 인장,8,5,62.5
BOTTOM,탈리야,증폭의 고서,8,4,50.0
BOTTOM,트리스타나,도란의 검,1815,923,50.85
BOTTOM,트리스타나,롱소드,390,196,50.26
BOTTOM,트리스타나,마법무효화의 망토,21,9,42.86
BOTTOM,트리스타나,수확의 낫,101,47,46.53
BOTTOM,트리스타나,장화,26,4,15.38
BOTTOM,트위스티드 페이트,도란의 검,5,4,80.0
BOTTOM,트위치,도란의 검,441,211,47.85
BOTTOM,트위치,도란의 반지,12,7,58.33
BOTTOM,트위치,롱소드,104,42,40.38
BOTTOM,트위치,마법무효화의 망토,6,4,66.67
BOTTOM,트위치,수확의 낫,20,6,30.0
BOTTOM,트위치,암흑의 인장,7,3,42.86
BOTTOM,트위치,장화,8,0,0.0
BOTTOM,트위치,증폭의 고서,5,3,60.0
BOTTOM,하이머딩거,도란의 반지,66,38,57.58
BOTTOM,하이머딩거,암흑의 인장,32,18,56.25
BOTTOM,하이머딩거,증폭의 고서,38,20,52.63
BOTTOM,흐웨이,도란의 반지,57,30,52.63
BOTTOM,흐웨이,암흑의 인장,23,10,43.48
BOTTOM,흐웨이,증폭의 고서,29,17,58.62
JUNGLE,그라가스,암흑의 인장,39,17,43.59
JUNGLE,그라가스,장화,5,2,40.0
JUNGLE,그라가스,증폭의 고서,26,10,38.46
JUNGLE,그레이브즈,롱소드,316,110,34.81
JUNGLE,그레이브즈,마법무효화의 망토,26,12,46.15
JUNGLE,그레이브즈,새끼 바람돌이,7,0,0.0
JUNGLE,그레이브즈,새끼 화염발톱,34,4,11.76
JUNGLE,그레이브즈,장화,332,129,38.86
JUNGLE,그웬,마법무효화의 망토,21,9,42.86
JUNGLE,그웬,새끼 바람돌이,27,1,3.7
JUNGLE,그웬,새끼 화염발톱,26,2,7.69
JUNGLE,그웬,암흑의 인장,530,281,53.02
JUNGLE,그웬,장화,270,86,31.85
JUNGLE,그웬,증폭의 고서,410,161,39.27
JUNGLE,나피리,롱소드,104,41,39.42
